Plant ID;Date (start);Interval;Meter;Value
LBDF;01/02/2022;Monthly;Operational Hours;14195922.42
LDTE;01/02/2022;Monthly;Operational Hours;9907595.868
MACH;01/02/2022;Monthly;Operational Hours;9428932.88
TRAY;01/02/2022;Monthly;Operational Hours;10938123.26
LBDF;01/03/2022;Monthly;Operational Hours;15513790.27
LDTE;01/03/2022;Monthly;Operational Hours;11125129.766
MACH;01/03/2022;Monthly;Operational Hours;10618985.9
TRAY;01/03/2022;Monthly;Operational Hours;12301865.17
LBDF;01/04/2022;Monthly;Operational Hours;13994210.19
LDTE;01/04/2022;Monthly;Operational Hours;10173079.696
MACH;01/04/2022;Monthly;Operational Hours;8133630.16
TRAY;01/04/2022;Monthly;Operational Hours;11387568.51
LBDF;01/05/2022;Monthly;Operational Hours;15348332.32
LDTE;01/05/2022;Monthly;Operational Hours;11439115.347
MACH;01/05/2022;Monthly;Operational Hours;8486356.87
TRAY;01/05/2022;Monthly;Operational Hours;11380090.93
LBDF;01/06/2022;Monthly;Operational Hours;14748574.59
LDTE;01/06/2022;Monthly;Operational Hours;10704359.521
MACH;01/06/2022;Monthly;Operational Hours;7001887.42
TRAY;01/06/2022;Monthly;Operational Hours;8564019.63
LBDF;01/07/2022;Monthly;Operational Hours;14067835.23
LDTE;01/07/2022;Monthly;Operational Hours;11268733.191
MACH;01/07/2022;Monthly;Operational Hours;8174887.05
TRAY;01/07/2022;Monthly;Operational Hours;10290273.77
LBDF;01/08/2022;Monthly;Operational Hours;12901506.47
LDTE;01/08/2022;Monthly;Operational Hours;11534850.745
MACH;01/08/2022;Monthly;Operational Hours;7708083.0
TRAY;01/08/2022;Monthly;Operational Hours;10883454.25
LBDF;01/09/2022;Monthly;Operational Hours;15295113.69
LDTE;01/09/2022;Monthly;Operational Hours;10837104.061
MACH;01/09/2022;Monthly;Operational Hours;7543548.01
TRAY;01/09/2022;Monthly;Operational Hours;10032760.0
LBDF;01/10/2022;Monthly;Operational Hours;15032643.56
LDTE;01/10/2022;Monthly;Operational Hours;11021930.672
MACH;01/10/2022;Monthly;Operational Hours;7279778.45
TRAY;01/10/2022;Monthly;Operational Hours;9890262.41
LBDF;01/11/2022;Monthly;Operational Hours;13839380.51
LDTE;01/11/2022;Monthly;Operational Hours;10220491.133
MACH;01/11/2022;Monthly;Operational Hours;9085587.24
TRAY;01/11/2022;Monthly;Operational Hours;12182590.62
LBDF;01/12/2022;Monthly;Operational Hours;13011836.7
LDTE;01/12/2022;Monthly;Operational Hours;11136956.712
MACH;01/12/2022;Monthly;Operational Hours;9497579.92
TRAY;01/12/2022;Monthly;Operational Hours;10965143.59
LBDF;01/01/2023;Monthly;Operational Hours;12883119.93
LDTE;01/01/2023;Monthly;Operational Hours;10713600.0
MACH;01/01/2023;Monthly;Operational Hours;10083098.06
TRAY;01/01/2023;Monthly;Operational Hours;9431222.48
LBDF;01/02/2023;Monthly;Operational Hours;11673074.52
LDTE;01/02/2023;Monthly;Operational Hours;8640000.0
MACH;01/02/2023;Monthly;Operational Hours;9216759.88
TRAY;01/02/2023;Monthly;Operational Hours;9483762.13
LBDF;01/03/2023;Monthly;Operational Hours;13322995.74
LDTE;01/03/2023;Monthly;Operational Hours;0.0
MACH;01/03/2023;Monthly;Operational Hours;9910351.2
TRAY;01/03/2023;Monthly;Operational Hours;12065180.89
LBDF;01/04/2023;Monthly;Operational Hours;15184725.59
LDTE;01/04/2023;Monthly;Operational Hours;0.0
MACH;01/04/2023;Monthly;Operational Hours;8314477.15
TRAY;01/04/2023;Monthly;Operational Hours;11520200.3
LBDF;01/05/2023;Monthly;Operational Hours;15065181.21
LDTE;01/05/2023;Monthly;Operational Hours;0.0
MACH;01/05/2023;Monthly;Operational Hours;8310754.49
TRAY;01/05/2023;Monthly;Operational Hours;11685131.79
LBDF;01/06/2023;Monthly;Operational Hours;13976949.27
LDTE;01/06/2023;Monthly;Operational Hours;0.0
MACH;01/06/2023;Monthly;Operational Hours;8416624.86
TRAY;01/06/2023;Monthly;Operational Hours;11084708.78
LBDF;01/07/2023;Monthly;Operational Hours;14397138.6
LDTE;01/07/2023;Monthly;Operational Hours;0.0
MACH;01/07/2023;Monthly;Operational Hours;8114893.99
TRAY;01/07/2023;Monthly;Operational Hours;7892774.02
LBDF;01/01/2022;Monthly;Production;1009509.813
LDTE;01/01/2022;Monthly;Production;871954.58
MACH;01/01/2022;Monthly;Production;1231990.935
TRAY;01/01/2022;Monthly;Production;1063981.198
LBDF;01/02/2022;Monthly;Production;1934797.104
LDTE;01/02/2022;Monthly;Production;1510457.007
MACH;01/02/2022;Monthly;Production;1662471.242
TRAY;01/02/2022;Monthly;Production;1613750.845
LBDF;01/03/2022;Monthly;Production;1563606.988
LDTE;01/03/2022;Monthly;Production;1446306.969
MACH;01/03/2022;Monthly;Production;1675686.363
TRAY;01/03/2022;Monthly;Production;1490695.802
LBDF;01/04/2022;Monthly;Production;1391241.088
LDTE;01/04/2022;Monthly;Production;1548251.495
MACH;01/04/2022;Monthly;Production;1048864.317
TRAY;01/04/2022;Monthly;Production;1283578.03
LBDF;01/05/2022;Monthly;Production;761614.351
LDTE;01/05/2022;Monthly;Production;1026237.672
MACH;01/05/2022;Monthly;Production;651524.506
TRAY;01/05/2022;Monthly;Production;634330.544
LBDF;01/06/2022;Monthly;Production;1014131.518
LDTE;01/06/2022;Monthly;Production;1280756.116
MACH;01/06/2022;Monthly;Production;583995.893
TRAY;01/06/2022;Monthly;Production;493045.959
LBDF;01/07/2022;Monthly;Production;735701.193
LDTE;01/07/2022;Monthly;Production;1047589.063
MACH;01/07/2022;Monthly;Production;779802.933
TRAY;01/07/2022;Monthly;Production;731738.859
LBDF;01/08/2022;Monthly;Production;978581.488
LDTE;01/08/2022;Monthly;Production;1404969.242
MACH;01/08/2022;Monthly;Production;750253.385
TRAY;01/08/2022;Monthly;Production;714664.632
LBDF;01/09/2022;Monthly;Production;999794.763
LDTE;01/09/2022;Monthly;Production;1110542.702
MACH;01/09/2022;Monthly;Production;891118.006
TRAY;01/09/2022;Monthly;Production;784102.609
LBDF;01/10/2022;Monthly;Production;1235107.976
LDTE;01/10/2022;Monthly;Production;1482688.845
MACH;01/10/2022;Monthly;Production;1107509.166
TRAY;01/10/2022;Monthly;Production;941568.391
LBDF;01/11/2022;Monthly;Production;1994794.915
LDTE;01/11/2022;Monthly;Production;1612959.694
MACH;01/11/2022;Monthly;Production;1600868.769
TRAY;01/11/2022;Monthly;Production;963574.435
LBDF;01/12/2022;Monthly;Production;1833046.892
LDTE;01/12/2022;Monthly;Production;244934.068
MACH;01/12/2022;Monthly;Production;1972933.208
TRAY;01/12/2022;Monthly;Production;2092609.981
LBDF;01/01/2023;Monthly;Production;2109393.515
LDTE;01/01/2023;Monthly;Production;0.0
MACH;01/01/2023;Monthly;Production;1923263.492
TRAY;01/01/2023;Monthly;Production;1713190.561
LBDF;01/02/2023;Monthly;Production;955287.445
LDTE;01/02/2023;Monthly;Production;0.0
MACH;01/02/2023;Monthly;Production;1191194.036
TRAY;01/02/2023;Monthly;Production;1016546.787
LBDF;01/03/2023;Monthly;Production;2719675.323
LDTE;01/03/2023;Monthly;Production;0.0
MACH;01/03/2023;Monthly;Production;2221064.419
TRAY;01/03/2023;Monthly;Production;2320293.5
LBDF;01/04/2023;Monthly;Production;1335388.893
LDTE;01/04/2023;Monthly;Production;0.0
MACH;01/04/2023;Monthly;Production;1177789.003
TRAY;01/04/2023;Monthly;Production;1339023.867
LBDF;01/05/2023;Monthly;Production;1928512.964
LDTE;01/05/2023;Monthly;Production;0.0
MACH;01/05/2023;Monthly;Production;1239694.42
TRAY;01/05/2023;Monthly;Production;1411671.116
LBDF;01/06/2023;Monthly;Production;846287.623
LDTE;01/06/2023;Monthly;Production;0.0
MACH;01/06/2023;Monthly;Production;506606.005
TRAY;01/06/2023;Monthly;Production;496002.032
LBDF;01/07/2023;Monthly;Production;1184029.006
LDTE;01/07/2023;Monthly;Production;0.0
MACH;01/07/2023;Monthly;Production;907111.358
TRAY;01/07/2023;Monthly;Production;769594.393
LBDF;01/01/2022;Monthly;Wind Speed;4.829
LDTE;01/01/2022;Monthly;Wind Speed;4.7134
MACH;01/01/2022;Monthly;Wind Speed;5.28875
TRAY;01/01/2022;Monthly;Wind Speed;5.0166
PLAN;01/01/2022;Monthly;Wind Speed;5.99046
LBDF;01/02/2022;Monthly;Wind Speed;6.295
LDTE;01/02/2022;Monthly;Wind Speed;6.2778
MACH;01/02/2022;Monthly;Wind Speed;6.213
TRAY;01/02/2022;Monthly;Wind Speed;5.9276
PLAN;01/02/2022;Monthly;Wind Speed;9.20307
LBDF;01/03/2022;Monthly;Wind Speed;5.92917
LDTE;01/03/2022;Monthly;Wind Speed;5.954
MACH;01/03/2022;Monthly;Wind Speed;6.362
TRAY;01/03/2022;Monthly;Wind Speed;5.7804
PLAN;01/03/2022;Monthly;Wind Speed;6.73218
LBDF;01/04/2022;Monthly;Wind Speed;5.81383
LDTE;01/04/2022;Monthly;Wind Speed;5.9564
MACH;01/04/2022;Monthly;Wind Speed;6.0985
TRAY;01/04/2022;Monthly;Wind Speed;5.519
PLAN;01/04/2022;Monthly;Wind Speed;7.24638
LBDF;01/05/2022;Monthly;Wind Speed;4.60517
LDTE;01/05/2022;Monthly;Wind Speed;4.9794
MACH;01/05/2022;Monthly;Wind Speed;5.164
TRAY;01/05/2022;Monthly;Wind Speed;4.548
PLAN;01/05/2022;Monthly;Wind Speed;5.43042
LBDF;01/06/2022;Monthly;Wind Speed;5.24583
LDTE;01/06/2022;Monthly;Wind Speed;5.6034
