Date (start);Interval;Meter;Value;Plant ID
01/01/2023;Monthly;Gross Generation;19773686.021;CHPI-ECP001-METER001
01/01/2023;Monthly;Gross Generation;3222731.814;FIEN-ECP001-METER001
01/01/2023;Monthly;Gross Generation;2337014.936;JAVI-ECP001-METER001
01/01/2023;Monthly;Gross Generation;0.0;JONC-ECP001-METER001
01/01/2023;Monthly;Gross Generation;3387705.053;ROUS-ECP0001-METER001
01/01/2023;Monthly;Gross Generation;2745849.833;VARA-ECP001-METER001
01/02/2023;Monthly;Gross Generation;1770993.187;ANPA-ECP001-METER001
01/02/2023;Monthly;Gross Generation;1146116.702;BVER-ECP001-METER001
01/02/2023;Monthly;Gross Generation;13314227.444;CHPI-ECP001-METER001
01/02/2023;Monthly;Gross Generation;2168569.843;FIEN-ECP001-METER001
01/02/2023;Monthly;Gross Generation;2551401.156;JAVI-ECP001-METER001
01/02/2023;Monthly;Gross Generation;0.0;JONC-ECP001-METER001
01/02/2023;Monthly;Gross Generation;2662232.947;ROUS-ECP0001-METER001
01/02/2023;Monthly;Gross Generation;1673250.282;VARA-ECP001-METER001
01/03/2023;Monthly;Gross Generation;2693082.885;ANPA-ECP001-METER001
01/03/2023;Monthly;Gross Generation;2667323.842;BVER-ECP001-METER001
01/03/2023;Monthly;Gross Generation;20826996.762;CHPI-ECP001-METER001
01/03/2023;Monthly;Gross Generation;3859338.521;FIEN-ECP001-METER001
01/03/2023;Monthly;Gross Generation;2719214.298;JAVI-ECP001-METER001
01/03/2023;Monthly;Gross Generation;1634849.703;JONC-ECP001-METER001
01/03/2023;Monthly;Gross Generation;4408069.816;ROUS-ECP0001-METER001
01/03/2023;Monthly;Gross Generation;1646054.236;VARA-ECP001-METER001
01/04/2023;Monthly;Gross Generation;2910019.409;ANPA-ECP001-METER001
